genre,Ratings
Action,6.194444444444438
Adventure,6.247826086956524
Animation,6.5457142857142845
Biography,6.948000000000002
Comedy,6.016556291390728
Crime,6.060526315789472
Drama,6.296629213483141
Fantasy,6.5
Horror,4.913513513513514
Music,7.2
Sci-Fi,2.7
Sport,5.7
Thriller,5.699999999999999
