imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
tt1175506,Me and Orson Welles,2008,"Comedy, Drama","UK, Isle Of Man, USA",25000000,2336172,CinemaNX
tt1176096,Bam gua nat,2008,Drama,South Korea,850000,208859,B.O.M. Film Productions Co.
tt1176441,Na vlastní nebezpecí,2008,"Action, Thriller",Czech Republic,26000000,1021540,In Film Praha
tt1176731,Maga Martina e il libro magico del Draghetto,2009,"Adventure, Comedy, Family","Germany, Italy, Austria",10000000,16276155,Babelsberg Film
tt1176740,American Life,2009,"Comedy, Drama, Romance","USA, UK",17000000,15779455,Focus Features
tt1178642,Cyrano Fernández,2007,"Action, Drama, Romance",Venezuela,800000,1121893,Cinema Sur
tt1178663,Basta che funzioni,2009,"Comedy, Romance","USA, France",15000000,36020534,Sony Pictures Classics
tt1178665,A spasso nel bosco,2015,"Adventure, Biography, Comedy",USA,8000000,37461274,Route One Entertainment
tt1179019,20 sigaret,2007,"Action, Comedy, Drama",Russia,1500000,1516417,DANAIS Films
tt1179025,Adèle e l'enigma del faraone,2010,"Action, Adventure, Family","France, USA",31340000,34604339,EuropaCorp
tt1179034,From Paris with Love,2010,"Action, Crime, Thriller",France,52000000,52844496,EuropaCorp
tt1179056,Nightmare,2010,"Crime, Drama, Horror",USA,35000000,115694863,New Line Cinema
tt1179067,Samyy luchshiy film,2008,Comedy,Russia,4500000,30525503,Karoprokat
tt1179069,Shelter - Identità paranormali,2010,"Horror, Mystery, Thriller",USA,22000000,3205167,NALA Films
tt1179258,Chéri,2009,"Comedy, Drama, Romance","UK, France, Germany",23000000,9368242,Bill Kenwright Films
tt1179259,Colegas,2012,"Adventure, Comedy, Drama",Brazil,1500000,852138,Gatacine
tt1179793,Tatil Kitabi,2008,Drama,"Turkey, Netherlands",315715,41783,Bulut Film
tt1179820,48 heures par jour,2008,Comedy,France,5800000,1024947,La Mouche du Coche Films
tt1179891,San Valentino di sangue,2009,"Horror, Mystery, Thriller","USA, Canada",15000000,100734718,Lionsgate
tt1179904,Paranormal Activity,2007,"Horror, Mystery, Thriller",USA,15000,193355800,Solana Films
tt1179933,10 Cloverfield Lane,2016,"Action, Drama, Horror",USA,15000000,110216998,Paramount Pictures
tt1180300,Budapest,2009,"Drama, Romance","Hungary, Brazil, Portugal",2300000,415555,Nexus Cinema e Vídeo
tt1180333,Blackout,2008,"Mystery, Thriller",Finland,1479000,559555,Filmiteollisuus Fine
tt1180348,Show of Hands,2008,"Comedy, Drama, Romance",New Zealand,2400000,50995,Great Southern Film and Television
tt1180583,Vaaranam Aayiram,2008,"Drama, Musical, Romance",India,140000000,921007,Aascar Film P.
tt1181614,Cime tempestose,2011,"Drama, Romance",UK,5000000,1742215,Film4
tt1181795,Bunraku,2010,"Action, Drama, Fantasy",USA,25000000,129706,Snoot Entertainment
tt1181840,Jack et la mécanique du coeur,2013,"Animation, Adventure, Drama","France, Belgium",33746302,3484370,EuropaCorp
tt1181920,20-seiki shônen: Dai 2 shô - Saigo no kibô,2009,"Drama, Fantasy",Japan,20000000,29502213,Cine Bazar
tt1181927,The Bone Man,2009,"Comedy, Crime, Thriller",Austria,4000000,4083982,Dor Film Produktionsgesellschaft
tt1182345,Moon,2009,"Drama, Mystery, Sci-Fi","UK, USA",5000000,9760107,Sony Pictures Classics
tt1182350,Incontrerai l'uomo dei tuoi sogni,2010,"Comedy, Drama, Romance","USA, Spain",22000000,36015260,Mediapro
tt1182609,Direct Contact,2009,"Action, Thriller","Bulgaria, Germany",6000000,148337,Millennium Films
tt1182921,Ninja,2009,"Action, Thriller",USA,10000000,194243,Millennium Films
tt1182937,Una coppia voluta da Dio,2008,"Comedy, Drama, Music",India,220000000,29914469,Yash Raj Films
tt1182972,Bachna Ae Haseeno,2008,"Comedy, Drama, Romance",India,180000000,11386430,Yash Raj Films
tt1183251,Un alibi perfetto,2009,"Crime, Drama, Mystery","USA, Saudi Arabia",25000000,4515258,Autonomous Films
